algoritmo,capacidade_memoria,threads,cores,threads_usados,qtd_sequencias,total_sequencias,size_arquivos,media_tamanho_sequencias,formato_arvore,tempo_execucao
clustalw,134743715840,24,16,7,44,1672,1547389,784.3295454545455,nexus,95.49899277009536
clustalw,134743715840,24,16,7,61,2318,2224084,818.0403278688525,newick,128.82620591390878
clustalw,134743715840,24,16,7,38,1444,1449812,860.2318421052632,newick,95.36017635697499
clustalw,134743715840,24,16,24,64,2432,2311901,808.66640625,nexus,49.396938431076705
clustalw,134743715840,24,16,24,14,532,544665,880.2314285714285,newick,17.693039702018723
clustalw,134743715840,24,16,24,75,2850,2722959,812.6370666666667,newick,61.07671961700544
clustalw,134743715840,24,16,24,100,3800,3543633,791.1863000000001,nexus,76.96584852901287
clustalw,134743715840,24,16,24,20,760,754990,849.3185,newick,18.508744664955884
clustalw,134743715840,24,16,21,22,836,807223,826.2259090909091,nexus,22.66553458198905
clustalw,134743715840,24,16,21,17,646,647905,861.0476470588235,nexus,17.316327119013295
clustalw,134743715840,24,16,21,100,3800,3705688,831.3163000000001,newick,86.52883460698649
clustalw,134743715840,24,16,21,100,3800,3642681,815.9191999999999,nexus,87.17083888500929
clustalw,134743715840,24,16,20,14,532,502334,800.87,nexus,16.003958046087064
clustalw,134743715840,24,16,20,100,3800,3587501,802.1239,nexus,83.66410151298624
clustalw,134743715840,24,16,20,100,3800,3544520,792.3362,newick,81.32549287204165
clustalw,134743715840,24,16,20,15,570,534982,795.556,newick,17.446028714999557
clustalw,134743715840,24,16,20,1,38,44059,1014.84,newick,9.054341485956684
clustalw,134743715840,24,16,20,10,380,396100,890.7950000000001,newick,15.323282773024403
clustalw,134743715840,24,16,20,45,1710,1657303,826.6911111111111,nexus,43.30132007796783
clustalw,134743715840,24,16,20,100,3800,3634680,814.3764,newick,82.64824158593547
clustalw,134743715840,24,16,19,100,3800,3690993,828.9284,newick,94.04006277408917
clustalw,134743674880,24,16,6,17,646,620017,817.9476470588236,nexus,54.30739571799995
clustalw,134743674880,24,16,6,39,1482,1360045,775.8048717948718,nexus,96.91265258399994
clustalw,134743674880,24,16,6,30,1140,1115295,834.698,nexus,82.95721045300002
clustalw,134743674880,24,16,18,36,1368,1383281,868.1541666666667,nexus,37.486584448999565
clustalw,134743674880,24,16,18,100,3800,3652869,819.2774000000001,newick,83.38544339199962
clustalw,134743674880,24,16,18,100,3800,3645140,817.0421000000001,nexus,83.21701768000003
clustalw,134743724032,24,16,16,100,3800,3558761,794.7754,nexus,82.58888457100011
clustalw,134743724032,24,16,16,98,3724,3623559,829.4286734693877,newick,89.02217233800002
clustalw,134743724032,24,16,16,100,3800,3591663,802.4384,nexus,83.09131117499987
clustalw,134743724032,24,16,16,16,608,550579,765.3025,newick,16.867750633000014
clustalw,134743724032,24,16,16,31,1178,1114334,803.8761290322581,newick,43.85410799500096
clustalw,134743724032,24,16,16,51,1938,1858249,816.6249019607843,nexus,70.00104870500036
clustalw,134743724032,24,16,8,97,3686,3434129,789.7480412371134,nexus,192.59427893300017
clustalw,134743724032,24,16,15,100,3800,3568668,797.0414999999999,newick,122.39970306900068
clustalw,134743724032,24,16,15,100,3800,3619112,810.5769,nexus,122.55371475900029
clustalw,134743724032,24,16,15,74,2812,2754441,837.0116216216217,newick,92.92328306799755
clustalw,134743724032,24,16,14,100,3800,3595660,803.6403,nexus,132.36313562899886
clustalw,134743724032,24,16,14,19,722,723108,858.6368421052632,nexus,30.071230233999813
clustalw,134743724032,24,16,9,42,1596,1487530,791.0130952380953,newick,67.18584833700152
clustalw,134743724032,24,16,11,11,418,431116,887.34,newick,24.546413405994826
clustalw,134743724032,24,16,11,27,1026,978339,810.9018518518518,nexus,50.30199995099974
clustalw,134743724032,24,16,11,20,760,733140,823.232,newick,34.58790660399973
clustalw,134743724032,24,16,11,16,608,614823,869.314375,newick,34.188278847999754
clustalw,134743724032,24,16,11,9,342,330378,822.0933333333334,nexus,19.533917826003744
clustalw,134743724032,24,16,13,5,190,175278,781.014,nexus,13.196001024996804
clustalw,134743724032,24,16,12,26,988,905438,775.9346153846153,nexus,39.39734952800063
clustalw,134743724032,24,16,12,11,418,385540,779.05,newick,24.88526659800118
clustalw,134743724032,24,16,12,100,3800,3649164,816.8267999999999,newick,145.473586909
clustalw,134743724032,24,16,12,27,1026,974032,808.1488888888889,nexus,41.29637655199622
clustalw,134743724032,24,16,12,100,3800,3649161,818.0853,nexus,150.3318754360007
clustalw,134743724032,24,16,12,63,2394,2388476,854.9788888888888,newick,97.42915777500457
clustalw,134743724032,24,16,12,100,3800,3508368,782.6661,nexus,144.1275315390012
clustalw,134743724032,24,16,11,100,3800,3505287,781.1826,nexus,84.30478640200454
clustalw,134743724032,24,16,11,47,1786,1674063,796.2861702127659,nexus,38.90660397699685
clustalw,134743724032,24,16,3,100,3800,3606801,807.4891,newick,280.1281719739927
clustalw,134743724032,24,16,10,25,950,936056,842.1272,nexus,44.81902410800103
clustalw,134743724032,24,16,9,72,2736,2658833,830.2880555555555,nexus,120.34006281700567
clustalw,134743724032,24,16,9,27,1026,990860,823.582962962963,newick,50.48230141100066
clustalw,134743724032,24,16,7,7,266,238461,758.97,nexus,15.281087285009562
clustalw,134743724032,24,16,7,100,3800,3450512,766.9872,nexus,180.47681026600185
clustalw,134743724032,24,16,7,53,2014,1883617,793.3198113207546,nexus,101.63723588299763
clustalw,134743724032,24,16,7,29,1102,1029077,793.5803448275863,newick,51.718601188011235
clustalw,134743724032,24,16,7,25,950,917515,821.9332,nexus,49.033438870013924
clustalw,134743724032,24,16,4,40,1520,1426176,795.354,nexus,144.26176965801278
clustalw,134743695360,24,16,23,31,1178,1107490,800.3558064516129,newick,21.58179954002844
clustalw,134743695360,24,16,1,50,1900,1838313,824.2653999999999,newick,631.5867978340248
clustalw,134743695360,24,16,21,19,722,659356,773.2226315789474,nexus,14.011934779991861
clustalw,134743695360,24,16,21,25,950,924837,831.4284,newick,20.404633253987413
